exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_CH_to_ISL_G10_Y35_seed2,1.148915045196609,0.7410089690492593,0.8005951908373703,0.45307112014107886,-0.25551584821284024,-0.1587128391256556,2444,1164,1280,2.750572565450484,-1.6016575202538748,1.2140721489408826,-0.4730631798916233
TL_CH_to_ISL_G10_Y35_seed3,1.1380596840993746,0.677605582769873,0.80434548587575,0.5426613789101961,0.16202664318977764,-0.12831398737616836,2444,1164,1280,2.750572565450484,-1.6125128813511092,1.2140721489408826,-0.5364665661710095
TL_CH_to_ISL_G10_Y35_seed4,1.2976076949001878,0.802195257994696,0.7456412866163051,0.3590205474138416,0.14943874514696934,-0.03518736811820418,2444,1164,1280,2.750572565450484,-1.452964870550296,1.2140721489408826,-0.4118768909461865
TL_CH_to_ISL_G10_Y35_seed5,1.0669033404559236,0.6857623530034626,0.8280469257235207,0.5315845555070101,0.04974506690432526,-0.02797648161649704,2444,1164,1280,2.750572565450484,-1.6836692249945602,1.2140721489408826,-0.52830979593742
TL_CH_to_ISL_G10_Y35_seed6,1.1535229130985205,0.7092199273101514,0.7989925073891817,0.49899070128488066,-0.14748605852786617,-0.1551565804053098,2444,1164,1280,2.750572565450484,-1.5970496523519633,1.2140721489408826,-0.5048522216307312
TL_CH_to_ISL_G10_Y35_seed7,1.4834449631835867,0.7950808448435066,0.6675681154128696,0.3703394156242896,0.3027321636881615,-0.026267706393264235,2444,1164,1280,2.750572565450484,-1.2671276022668971,1.2140721489408826,-0.41899130409737595
TL_CH_to_ISL_G10_Y35_seed8,1.2647331645081654,0.7766868663142601,0.7583662416007406,0.39913646327806407,-0.16140904505433085,-0.12026667692698538,2444,1164,1280,2.750572565450484,-1.4858394009423184,1.2140721489408826,-0.43738528262662246
TL_CH_to_ISL_G10_Y35_seed9,1.239972883940318,0.7948348748574859,0.76773478603698,0.37072894493896313,-0.08370954248913375,-0.13365576257929207,2444,1164,1280,2.750572565450484,-1.5105996815101659,1.2140721489408826,-0.4192372740833966
TL_CH_to_ISL_G10_Y3_seed1,1.4211892663165844,0.8892818333460196,0.6948849482338068,0.2122965131337956,0.0638571583579496,-0.16289570822846144,2444,1164,1280,2.750572565450484,-1.3293832991338994,1.2140721489408826,-0.32479031559486293
TL_CH_to_ISL_G10_Y3_seed10,1.550057373147252,0.8551436083281103,0.6370428622134503,0.2716132533003379,-0.41388951298297477,-0.22717679277993738,2444,1164,1280,2.750572565450484,-1.2005151923032318,1.2140721489408826,-0.35892854061277224
TL_CH_to_ISL_G10_Y3_seed2,1.3422901315259457,0.8134090466474957,0.7278222688233325,0.34097494870989076,0.13094926571723112,0.03185454206541181,2444,1164,1280,2.750572565450484,-1.4082824339245381,1.2140721489408826,-0.40066310229338686
TL_CH_to_ISL_G10_Y3_seed3,1.4816574135901246,0.9240473732897558,0.6683687928448205,0.14950375458292608,-0.08853443519970805,-0.11546537501271814,2444,1164,1280,2.750572565450484,-1.2689151518603592,1.2140721489408826,-0.2900247756511267
TL_CH_to_ISL_G10_Y3_seed4,1.5367733951847204,0.7580996617844521,0.6432372838317333,0.42755135355275686,-0.02050372502443307,-0.028176654037088154,2444,1164,1280,2.750572565450484,-1.2137991702657633,1.2140721489408826,-0.45597248715643046
TL_CH_to_ISL_G10_Y3_seed5,1.2331540288947738,0.7493657388900156,0.7702823063574394,0.44066551825090794,0.22057345276538448,-0.06950263073667884,2444,1164,1280,2.750572565450484,-1.51741853655571,1.2140721489408826,-0.464706410050867
TL_CH_to_ISL_G10_Y3_seed6,1.622110783158418,0.8340797368949681,0.6025149327902808,0.30705451686802243,-0.11427708290184486,-0.1521805625874549,2444,1164,1280,2.750572565450484,-1.1284617822920657,1.2140721489408826,-0.3799924120459145
