exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_CH_to_ISL_G10_Y2_seed1,1.636619944743451,0.9411166939788831,0.5953724272137444,0.11779222394159816,0.2090609556006402,-0.2917852802434936,2444,1164,1280,2.750572565450484,-1.1139526207070327,1.2140721489408826,-0.27295545496199947
TL_CH_to_ISL_G10_Y2_seed10,1.8604059283552472,0.9015194023515105,0.47715227277367345,0.19046788380629442,-1.0263598356972035,-0.3175281772390008,2444,1164,1280,2.750572565450484,-0.8901666370952366,1.2140721489408826,-0.31255274658937204
TL_CH_to_ISL_G10_Y2_seed11,1.89198230202375,0.8956308961939116,0.4592532297121814,0.2010086810586873,-0.4079373091510481,-0.29305870544631035,2444,1164,1280,2.750572565450484,-0.8585902634267337,1.2140721489408826,-0.318441252746971
TL_CH_to_ISL_G10_Y2_seed12,1.5325153469128463,0.9990231980300904,0.6452115609949284,0.005888556783448573,-0.2864345282674655,-0.12532102295663208,2444,1164,1280,2.750572565450484,-1.2180572185376375,1.2140721489408826,-0.21504895091079212
TL_CH_to_ISL_G10_Y2_seed13,1.8412788016015365,0.9869241454813024,0.4878479665002986,0.02982188073093872,0.4084904145743839,-0.3388154892483726,2444,1164,1280,2.750572565450484,-0.9092937638489473,1.2140721489408826,-0.2271480034595802
TL_CH_to_ISL_G10_Y2_seed14,1.6465525418672498,0.978547139703713,0.5904461787201403,0.04622171447508738,0.3202271873189002,-0.15338079126086085,2444,1164,1280,2.750572565450484,-1.104020023583234,1.2140721489408826,-0.23552500923716957
TL_CH_to_ISL_G10_Y2_seed15,1.7760961286155283,0.9504932874591885,0.5234672751092053,0.10012531332735652,-0.0525231163475112,-0.2919276376487687,2444,1164,1280,2.750572565450484,-0.9744764368349554,1.2140721489408826,-0.26357886148169407
TL_CH_to_ISL_G10_Y2_seed16,1.7335406203247379,0.9045777274847371,0.5460292829612565,0.18496603459845185,0.7371845724144342,0.18946045581251383,2444,1164,1280,2.750572565450484,-1.017031945125746,1.2140721489408826,-0.3094944214561455
TL_CH_to_ISL_G10_Y2_seed17,2.0708090400367363,0.9464910199676919,0.35220155762926153,0.10768761114389225,-0.4552634769596185,-0.0023272930877283214,2444,1164,1280,2.750572565450484,-0.6797635254137475,1.2140721489408826,-0.26758112897319064
TL_CH_to_ISL_G10_Y2_seed18,1.6630296729907652,1.0761840820311728,0.582208315687472,-0.1536048019628713,-0.4653168781772512,-0.5097458846634254,2444,1164,1280,2.750572565450484,-1.0875428924597186,1.2140721489408826,-0.13788806690970978
TL_CH_to_ISL_G10_Y2_seed19,1.7371023364483833,0.9552528104904002,0.544161918732815,0.09109064114710563,-0.027858541516708753,-0.3267949796281755,2444,1164,1280,2.750572565450484,-1.0134702290021005,1.2140721489408826,-0.25881933845048233
TL_CH_to_ISL_G10_Y2_seed2,2.441511435827119,1.0631481584919478,0.09951326293322027,-0.12582661045191568,-1.2831394178248763,-0.3982579553266987,2444,1164,1280,2.750572565450484,-0.30906112962336474,1.2140721489408826,-0.15092399044893479
TL_CH_to_ISL_G10_Y2_seed20,1.5757500392946546,0.9349720350199269,0.6249108961895258,0.1292746877452512,0.24748461355560833,-0.2667839305475354,2444,1164,1280,2.750572565450484,-1.1748225261558292,1.2140721489408826,-0.2791001139209557
TL_CH_to_ISL_G10_Y2_seed3,1.7708820230472013,1.1665287443021046,0.526261093219847,-0.35542289238990943,-0.34237020432027343,-0.3462138120085001,2444,1164,1280,2.750572565450484,-0.9796905424032825,1.2140721489408826,-0.04754340463877793
TL_CH_to_ISL_G10_Y2_seed4,1.896609373147927,1.1235641001735162,0.45660507245897997,-0.2574178917703669,0.15585560461704673,0.05541436329949647,2444,1164,1280,2.750572565450484,-0.8539631923025568,1.2140721489408826,-0.0905080487673664
TL_CH_to_ISL_G10_Y2_seed5,1.7313099139798171,0.8205200656922002,0.547196863109912,0.32940186805926364,0.7390412626039121,0.07363097432535141,2444,1164,1280,2.750572565450484,-1.0192626514706666,1.2140721489408826,-0.3935520832486824
TL_CH_to_ISL_G10_Y2_seed6,1.8232946335741032,1.0268096508214037,0.4978037071733006,-0.050180163574467196,-0.19058589202022225,-0.39712155116721987,2444,1164,1280,2.750572565450484,-0.9272779318763806,1.2140721489408826,-0.18726249811947882
TL_CH_to_ISL_G10_Y2_seed7,2.073578040117957,0.9581954350308007,0.35046798087585385,0.08548228610059472,0.3202588523888506,-0.27481238564942034,2444,1164,1280,2.750572565450484,-0.6769945253325269,1.2140721489408826,-0.2558767139100818
TL_CH_to_ISL_G10_Y2_seed8,1.7371294823031826,1.0524275950131785,0.5441476717759235,-0.10323588795712069,-0.5964284825212357,-0.5066769035067409,2444,1164,1280,2.750572565450484,-1.0134430831473011,1.2140721489408826,-0.16164455392770405
TL_CH_to_ISL_G10_Y2_seed9,1.5765128852312063,0.927148590979559,0.6245476349451973,0.14378543301057556,0.2704735558057569,-0.2534223003545776,2444,1164,1280,2.750572565450484,-1.1740596802192775,1.2140721489408826,-0.2869235579613235
TL_CH_to_ISL_G10_Y30_seed1,1.3304661153502557,0.7213760311197386,0.7325962880468885,0.48166880950378366,0.28003108094340745,-0.12280985889956356,2444,1164,1280,2.750572565450484,-1.420106450100228,1.2140721489408826,-0.492696117821144
TL_CH_to_ISL_G10_Y30_seed10,1.4672016110284538,0.7648376539274808,0.6748083501721704,0.4173302813696519,-0.5990762464010838,-0.26646633257623764,2444,1164,1280,2.750572565450484,-1.28337095442203,1.2140721489408826,-0.44923449501340174
TL_CH_to_ISL_G10_Y30_seed11,1.2345260983788824,0.8537538749271828,0.7697708309416851,0.27397879949122483,-0.2913474638488694,-0.19101233463734388,2444,1164,1280,2.750572565450484,-1.5160464670716014,1.2140721489408826,-0.36031827401369976
TL_CH_to_ISL_G10_Y30_seed12,1.4867499704469616,0.8783396152178528,0.6660851973123285,0.23156193652154078,0.20350639501592957,0.05792151552159339,2444,1164,1280,2.750572565450484,-1.2638225950035222,1.2140721489408826,-0.3357325337230298
TL_CH_to_ISL_G10_Y30_seed13,1.2373934056202798,0.7677259877612571,0.7687001295905309,0.4129211825479626,0.17840039251289008,0.031475810403935614,2444,1164,1280,2.750572565450484,-1.513179159830204,1.2140721489408826,-0.44634616117962544
TL_CH_to_ISL_G10_Y30_seed14,1.3199461764188438,0.8541447338882364,0.7368082695054805,0.27331388456061045,-0.2447103024860428,-0.019579660752788185,2444,1164,1280,2.750572565450484,-1.43062638903164,1.2140721489408826,-0.35992741505264614
TL_CH_to_ISL_G10_Y30_seed15,1.400379055071512,0.8100901113814448,0.703755014298611,0.34634198802466387,0.008117431320275637,0.01188484828453511,2444,1164,1280,2.750572565450484,-1.3501935103789717,1.2140721489408826,-0.40398203755943773
TL_CH_to_ISL_G10_Y30_seed16,1.2818876746543837,0.8339888556322941,0.751766872716842,0.3072055152121106,0.48353436691654506,0.23305634751450272,2444,1164,1280,2.750572565450484,-1.4686848907961,1.2140721489408826,-0.3800832933085885
