lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.0001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.5788503427566245,0.6350949703735298,1.019677479303843,0.5118808490606366,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.2,False,0.389931708401283,0.5923142271901156,0.854493397696986,0.516333707802687,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[64, 32, 32]",0.2,True,0.5221381891184442,0.6143886156762849,1.0160885008316163,0.4816916495986614,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.2,False,0.3368499002700287,0.5674921671218486,0.8409166378111614,0.4863437502448665,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.34992927275985874,0.5545815296657252,0.8526144566900795,0.4630628528038084,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.4,True,1.0343433848804753,0.8067359888747596,1.5436768886900676,0.515921225912316,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,False,0.3923289403979973,0.6338045661764652,0.8872528301868408,0.5622265984673652,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.2,False,0.3825750248566824,0.6070589636663152,0.8622768407858991,0.5340830762883876,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.4,True,0.35100604745476705,0.568685553950524,0.8708816866281038,0.47623149593034886,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.5816137217891559,0.6304533741077538,1.030013119793819,0.5001388620773161,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.3,True,0.429213984397434,0.5779602510596886,0.9554577889296229,0.4533113122475465,success,
0.001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.2960637693866191,0.5767263594770353,0.8379100564363876,0.5005631184073636,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.3,True,0.3934468806543118,0.5439555887904434,0.8882670672904922,0.43171621857499454,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,False,0.46501240205094346,0.6028190192017493,0.8633610094079947,0.5277881038147334,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 32]",0.4,False,0.3292410615985508,0.5534541389772415,0.8009548935138207,0.48152912091577116,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.4,False,0.32222793621444057,0.5565436271457974,0.8002812459169989,0.4861077068242444,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.2,True,0.30762471209505654,0.5452583290300694,0.8209423070772536,0.4622411198890917,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 64, 32]",0.3,False,0.31554342818886716,0.5544087289024793,0.8498208181227749,0.46394953452224263,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.4,True,0.3121344724145138,0.5257773725611395,0.7947010108468207,0.4445037477575155,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.4,False,0.49992354705358877,0.614627365340085,0.917963248424222,0.5239555698911174,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,True,0.34414271980854527,0.5622446185883558,0.8707990889095355,0.46682602125534833,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.2,True,0.3988844302584467,0.5947927056013061,0.9300891185471013,0.4901403281566939,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 64, 32]",0.3,False,0.4668253950597601,0.604167664344659,0.8650654397762827,0.5290513696498611,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.0,False,0.35436384408209004,0.5790173193184441,0.9180095827684692,0.47176860864404424,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.3,True,0.29673919548246025,0.5302871783582456,0.8195055569430033,0.4410355023876832,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.4,True,0.37702994675050716,0.5616813183622508,0.8777497955983563,0.46309166514852035,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.0,True,0.27657361514495277,0.6905409058078636,0.9024987476278665,0.6339272104735253,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,False,0.25543593152865274,0.5706361860881527,0.8079922868418259,0.5029503957806402,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.0,False,0.290359083397652,0.5748923477483077,0.811358596851743,0.5076483175465698,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,True,0.2315095575174197,0.6366421364189324,0.8836032848576304,0.5673971018831259,success,
