lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.0001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.3,True,0.44728655789552246,0.6212935480953335,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 64, 32]",0.0,True,0.17961110590949175,0.6475269280935022,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[64, 32, 32]",0.0,False,0.28246670889601827,0.5904225964202023,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.4,False,0.23388817028602304,0.6438766266894619,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.4,True,0.3498543099484167,0.6301246802484101,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.0,False,0.19682124638277324,0.609693943296661,success,
0.001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.2,True,0.20721499306417301,0.5847364907635939,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.4,True,0.28453011348568497,0.5701125703007636,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.0,False,0.21801782836256123,0.6179517507796518,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.2,False,0.20437343292933716,0.5998841375738158,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.2,True,0.2406646688952812,0.5945118891686711,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[64, 32, 32]",0.4,False,0.3032433161620895,0.6187710844625808,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,True,0.24684325433186052,0.5920293862547358,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.2,True,0.3131380228411352,0.5918798022004583,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 64, 32]",0.4,False,0.22846394182543256,0.5722332288717615,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.2,True,0.390763728553128,0.600062128987,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,True,0.1941308841638805,0.6706376604277756,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.0,True,0.15667452345047075,0.6586339214688344,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.2,False,0.22036901425003316,0.6041587995016985,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,False,0.45368730991080763,0.7103397960391258,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 128, 64, 32]",0.0,False,0.19873497021084527,0.6086234413545494,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.2,False,0.19333757290252268,0.6010691204652137,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,True,0.5471746225156384,0.7758886545373899,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.3,False,0.2599055024677774,0.6322418737314313,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.34433872174526264,0.702705223692964,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.4,False,0.2414588729560917,0.6704679856234255,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.0,True,0.18266836859637087,0.6257988987642058,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.4,True,0.3788592891942397,0.6441545677564235,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 64, 32]",0.4,False,0.40916512022040247,0.6513588023910335,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.3,True,0.2864292173369031,0.5879143908303343,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 32]",0.2,True,0.3016017965777925,0.5983714877700617,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.2,False,0.1681916719346448,0.5764751133442223,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.3,False,0.24039829490622172,0.6767077348265971,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,True,0.2935973006356747,0.5802022916520113,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.4,True,0.28214858931206793,0.5887879167457621,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 32]",0.0,True,0.1758551920609537,0.673145448008889,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,False,0.2966635698254745,0.6959788998079697,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,True,0.2672796083191877,0.5740325791761078,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.28571107120815453,0.654256358428415,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,False,0.23072067466086726,0.6118848238777934,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.4,True,0.6490046901988017,0.8318814434457807,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 64, 32]",0.2,False,0.31579283296536065,0.6148932013044216,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,False,0.18309490155846658,0.6107402271603581,success,
